Latitude (decimal degrees):	47.281
Longitude (decimal degrees):	9.671
Elevation (m):	682
Radiation database:	PVGIS-CMSAF


Slope: 0
Azimuth: 0
Date,Bi,Di,Ri,As,Tamb,W10,Int.
20160111:1855,0.00,0.00,0.00,0.00,6.51,3.28,0
20160111:1955,0.00,0.00,0.00,0.00,6.04,3.50,0
20160111:2055,0.00,0.00,0.00,0.00,5.57,3.72,0
20160111:2155,0.00,0.00,0.00,0.00,5.11,3.94,0
20160111:2255,0.00,0.00,0.00,0.00,5.01,3.94,0
20160111:2355,0.00,0.00,0.00,0.00,4.92,3.94,0
20160112:0055,0.00,0.00,0.00,0.00,4.83,3.93,0
20160112:0155,0.00,0.00,0.00,0.00,4.80,3.53,0
20160112:0255,0.00,0.00,0.00,0.00,4.77,3.13,0
20160112:0355,0.00,0.00,0.00,0.00,4.74,2.73,0
20160112:0455,0.00,0.00,0.00,0.00,4.30,3.17,0
20160112:0555,0.00,0.00,0.00,0.00,3.85,3.60,0
20160112:0655,0.00,0.00,0.00,0.00,3.41,4.04,0
20160112:0755,0.00,39.90,0.00,6.02,3.57,4.03,0
20160112:0855,0.00,23.00,0.00,12.89,3.74,4.02,0
20160112:0955,0.00,75.50,0.00,17.91,3.90,4.01,0
20160112:1055,0.20,101.50,0.00,20.65,4.49,3.94,0
20160112:1155,0.00,57.55,0.00,20.81,5.07,3.86,0
20160112:1255,0.00,12.10,0.00,18.37,5.66,3.78,0
20160112:1355,0.00,6.95,0.00,13.60,5.71,3.63,0
20160112:1455,36.09,43.86,0.00,6.92,5.75,3.48,0
20160112:1555,0.00,0.00,0.00,0.00,5.80,3.32,0
20160112:1655,0.00,0.00,0.00,0.00,5.44,3.04,0
20160112:1755,0.00,0.00,0.00,0.00,5.09,2.76,0
20160112:1855,0.00,0.00,0.00,0.00,4.73,2.48,0
20160112:1955,0.00,0.00,0.00,0.00,4.32,2.62,0
20160112:2055,0.00,0.00,0.00,0.00,3.90,2.75,0
20160112:2155,0.00,0.00,0.00,0.00,3.49,2.88,0
20160112:2255,0.00,0.00,0.00,0.00,3.23,2.97,0
20160112:2355,0.00,0.00,0.00,0.00,2.98,3.05,0
20160113:0055,0.00,0.00,0.00,0.00,2.72,3.13,0
20160113:0155,0.00,0.00,0.00,0.00,2.53,3.54,0
20160113:0255,0.00,0.00,0.00,0.00,2.35,3.95,0
20160113:0355,0.00,0.00,0.00,0.00,2.16,4.36,0
20160113:0455,0.00,0.00,0.00,0.00,1.89,4.17,0
20160113:0555,0.00,0.00,0.00,0.00,1.63,3.98,0
20160113:0655,0.00,0.00,0.00,0.00,1.36,3.79,0
20160113:0755,0.00,36.85,0.00,6.11,1.54,3.90,0
20160113:0855,0.00,6.55,0.00,13.00,1.73,4.00,0
20160113:0955,0.00,10.35,0.00,18.05,1.91,4.11,0
20160113:1055,0.00,12.70,0.00,20.81,2.42,4.31,0
20160113:1155,0.00,12.85,0.00,20.98,2.92,4.51,0
20160113:1255,0.00,22.40,0.00,18.55,3.43,4.72,0
20160113:1355,0.05,60.20,0.00,13.78,3.33,4.05,0
20160113:1455,18.22,49.35,0.00,7.11,3.23,3.37,0
20160113:1555,0.00,0.00,0.00,0.00,3.13,2.70,0
20160113:1655,0.00,0.00,0.00,0.00,2.34,2.28,0
20160113:1755,0.00,0.00,0.00,0.00,1.56,1.86,0
20160113:1855,0.00,0.00,0.00,0.00,0.77,1.43,0
